epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.46706458926200867,,,,,
0,51,,,0.9206059575080872,33133520.0,1.8309460878372192,0.15535658597946167,0.5784395337104797
0,51,0.8380154967308044,,,,,,
1,99,,0.5811448097229004,,,,,
1,103,,,0.7342466711997986,24975836.0,1.4061005115509033,0.14349156618118286,0.45093780755996704
1,103,0.513536810874939,,,,,,
2,149,,0.3237292468547821,,,,,
2,155,,,0.693206787109375,21183426.0,1.2479304075241089,0.1439666599035263,0.38867735862731934
2,155,0.41273969411849976,,,,,,
3,199,,0.3068404793739319,,,,,
3,207,,,0.6548101902008057,19187860.0,1.171198844909668,0.14323008060455322,0.3628939986228943
3,207,0.36075714230537415,,,,,,
4,249,,0.3126285672187805,,,,,
4,259,,,0.6593278050422668,16895604.0,1.1067843437194824,0.1466657817363739,0.3570333421230316
4,259,0.3425733149051666,,,,,,
5,299,,0.3292636275291443,,,,,
5,311,,,0.6114723682403564,14496844.0,1.0408692359924316,0.14501740038394928,0.3427681624889374
5,311,0.3288124203681946,,,,,,
6,349,,0.27272599935531616,,,,,
6,363,,,0.5516453385353088,10793843.0,0.9043405055999756,0.1398811638355255,0.32569292187690735
6,363,0.31113535165786743,,,,,,
7,399,,0.27640652656555176,,,,,
7,415,,,0.49289655685424805,6441758.0,0.8494290113449097,0.13837526738643646,0.3079652786254883
7,415,0.2920008897781372,,,,,,
8,449,,0.24185016751289368,,,,,
8,467,,,0.5015538334846497,6347154.0,0.8603869080543518,0.13972848653793335,0.3104609549045563
8,467,0.2795948088169098,,,,,,
9,499,,0.2500588297843933,,,,,
9,519,,,0.490398645401001,6521817.0,0.8465352058410645,0.13798806071281433,0.3017323911190033
9,519,0.2741542458534241,,,,,,
10,549,,0.24945417046546936,,,,,
10,571,,,0.49835190176963806,6560086.5,0.8480673432350159,0.1384582817554474,0.3025928735733032
10,571,0.26569873094558716,,,,,,
11,599,,0.26225072145462036,,,,,
11,623,,,0.4820614755153656,6870044.0,0.8378314971923828,0.13631443679332733,0.2937537133693695
11,623,0.2644558250904083,,,,,,
12,649,,0.24508190155029297,,,,,
12,675,,,0.48899951577186584,6335982.5,0.8480275273323059,0.13827931880950928,0.2958992123603821
12,675,0.25649839639663696,,,,,,
13,699,,0.2461032271385193,,,,,
13,727,,,0.46773743629455566,6189951.5,0.8361901640892029,0.13593453168869019,0.28527140617370605
13,727,0.2529459595680237,,,,,,
14,749,,0.20425422489643097,,,,,
14,779,,,0.46976596117019653,6645830.0,0.814380407333374,0.13502448797225952,0.2836417853832245
14,779,0.2503623366355896,,,,,,
15,799,,0.20670729875564575,,,,,
15,831,,,0.4618661105632782,6564355.0,0.8110651969909668,0.13433386385440826,0.28271743655204773
15,831,0.24854908883571625,,,,,,
16,849,,0.3001921772956848,,,,,
16,883,,,0.46120646595954895,6129771.0,0.8338376879692078,0.13533276319503784,0.2824918031692505
16,883,0.24650849401950836,,,,,,
17,899,,0.27615541219711304,,,,,
17,935,,,0.4602442681789398,6036209.5,0.8199544548988342,0.13512185215950012,0.28072062134742737
17,935,0.24366828799247742,,,,,,
18,949,,0.20527929067611694,,,,,
18,987,,,0.46056580543518066,6297078.5,0.8241334557533264,0.135372593998909,0.28116288781166077
18,987,0.24016836285591125,,,,,,
19,999,,0.28041258454322815,,,,,
19,1039,,,0.4522320032119751,6287662.5,0.8099681735038757,0.1335323452949524,0.28326699137687683
19,1039,0.23655757308006287,,,,,,
20,1049,,0.23015724122524261,,,,,
20,1091,,,0.44128328561782837,6153387.5,0.8066306710243225,0.13278141617774963,0.2715700566768646
20,1091,0.2362382709980011,,,,,,
21,1099,,0.22639821469783783,,,,,
21,1143,,,0.45420050621032715,6244223.5,0.8195246458053589,0.13448065519332886,0.27893316745758057
21,1143,0.23448166251182556,,,,,,
22,1149,,0.19154517352581024,,,,,
22,1195,,,0.44746509194374084,6261320.5,0.7971293926239014,0.13292795419692993,0.27499738335609436
22,1195,0.23485739529132843,,,,,,
23,1199,,0.32183077931404114,,,,,
23,1247,,,0.4490823447704315,6122056.5,0.807746410369873,0.1334679126739502,0.2834049463272095
23,1247,0.23160164058208466,,,,,,
24,1249,,0.23603026568889618,,,,,
24,1299,,0.1834430992603302,,,,,
24,1299,,,0.4589698016643524,6102899.0,0.8276856541633606,0.13538406789302826,0.28131070733070374
24,1299,0.23225463926792145,,,,,,
25,1349,,0.21938657760620117,,,,,
25,1351,,,0.4460579752922058,6052030.5,0.8075642585754395,0.13345979154109955,0.27418237924575806
25,1351,0.22468608617782593,,,,,,
26,1399,,0.21429575979709625,,,,,
26,1403,,,0.44253355264663696,6258677.0,0.8080620169639587,0.13281738758087158,0.27157291769981384
26,1403,0.22436468303203583,,,,,,
27,1449,,0.20754872262477875,,,,,
27,1455,,,0.4452865719795227,6306337.5,0.7989688515663147,0.1323484629392624,0.2738479971885681
27,1455,0.22374138236045837,,,,,,
28,1499,,0.2249825894832611,,,,,
28,1507,,,0.44533348083496094,6279605.5,0.8022353649139404,0.13265690207481384,0.2768092453479767
28,1507,0.22241522371768951,,,,,,
29,1549,,0.18478074669837952,,,,,
29,1559,,,0.4325108230113983,6083489.0,0.8029155135154724,0.13192322850227356,0.268631249666214
29,1559,0.22090306878089905,,,,,,
30,1599,,0.20964348316192627,,,,,
30,1611,,,0.44526711106300354,6154005.5,0.8030207753181458,0.13302502036094666,0.27423879504203796
30,1611,0.21920107305049896,,,,,,
31,1649,,0.2137552797794342,,,,,
31,1663,,,0.4321693480014801,6353477.0,0.7799063324928284,0.1308763325214386,0.26556554436683655
31,1663,0.21990658342838287,,,,,,
32,1699,,0.18074920773506165,,,,,
32,1715,,,0.44907107949256897,6364799.5,0.7983108162879944,0.1327800750732422,0.2730064392089844
32,1715,0.21975542604923248,,,,,,
33,1749,,0.2688305377960205,,,,,
33,1767,,,0.45136889815330505,6339937.5,0.8056787252426147,0.1330760270357132,0.27870696783065796
33,1767,0.2184840738773346,,,,,,
34,1799,,0.21767599880695343,,,,,
34,1819,,,0.43703916668891907,6536130.0,0.7931031584739685,0.13118934631347656,0.2694936692714691
34,1819,0.21659119427204132,,,,,,
35,1849,,0.17459708452224731,,,,,
35,1871,,,0.44011181592941284,6343929.5,0.7952222228050232,0.13172724843025208,0.2721219062805176
35,1871,0.21821483969688416,,,,,,
36,1899,,0.23220610618591309,,,,,
36,1923,,,0.4319919943809509,6271900.0,0.7870948910713196,0.13092607259750366,0.2680797576904297
36,1923,0.21637967228889465,,,,,,
37,1949,,0.25261449813842773,,,,,
37,1975,,,0.43609291315078735,6340397.5,0.7865629196166992,0.1310761719942093,0.26951709389686584
37,1975,0.21469329297542572,,,,,,
38,1999,,0.2728067636489868,,,,,
38,2027,,,0.42884352803230286,6451757.0,0.7679780721664429,0.1288924664258957,0.2653709053993225
38,2027,0.21323662996292114,,,,,,
39,2049,,0.22573025524616241,,,,,
39,2079,,,0.43669986724853516,6595308.5,0.7668929696083069,0.12911741435527802,0.26975253224372864
39,2079,0.2125616818666458,,,,,,
40,2099,,0.22881799936294556,,,,,
40,2131,,,0.4286458492279053,6518647.0,0.7614322900772095,0.12833335995674133,0.2657954692840576
40,2131,0.21292713284492493,,,,,,
41,2149,,0.1850529909133911,,,,,
41,2183,,,0.42375171184539795,6554018.5,0.7602698802947998,0.12790778279304504,0.2618105709552765
41,2183,0.2079339623451233,,,,,,
42,2199,,0.21165069937705994,,,,,
42,2235,,,0.4172232151031494,6477135.0,0.7481117844581604,0.12703073024749756,0.25837427377700806
42,2235,0.2073535919189453,,,,,,
43,2249,,0.17986518144607544,,,,,
43,2287,,,0.4257459044456482,6499905.0,0.7589346766471863,0.12805579602718353,0.2635073661804199
43,2287,0.20644208788871765,,,,,,
44,2299,,0.19580769538879395,,,,,
44,2339,,,0.43295422196388245,6421316.0,0.7626672387123108,0.128881573677063,0.2666042447090149
44,2339,0.20687469840049744,,,,,,
45,2349,,0.2422616332769394,,,,,
45,2391,,,0.4220622181892395,6552351.0,0.7543268203735352,0.12736853957176208,0.26129189133644104
45,2391,0.20586887001991272,,,,,,
46,2399,,0.2062826305627823,,,,,
46,2443,,,0.4284127950668335,6372030.5,0.7588358521461487,0.12832802534103394,0.26361873745918274
46,2443,0.20407737791538239,,,,,,
47,2449,,0.19226449728012085,,,,,
47,2495,,,0.42599916458129883,6297510.0,0.7661680579185486,0.12843656539916992,0.263191819190979
47,2495,0.20359182357788086,,,,,,
48,2499,,0.1712852269411087,,,,,
48,2547,,,0.42069780826568604,6294642.5,0.7577511072158813,0.12781091034412384,0.2611226439476013
48,2547,0.2025517374277115,,,,,,
49,2549,,0.2283930480480194,,,,,
49,2599,,0.18378786742687225,,,,,
49,2599,,,0.4227733016014099,6331259.0,0.7556204199790955,0.12788181006908417,0.26115190982818604
49,2599,0.2016625702381134,,,,,,
50,2649,,0.18362924456596375,,,,,
50,2651,,,0.4208666980266571,6268572.0,0.7621227502822876,0.1280612200498581,0.2609865069389343
50,2651,0.2037288248538971,,,,,,
51,2699,,0.18468153476715088,,,,,
51,2703,,,0.42315441370010376,6346846.5,0.752682089805603,0.12776470184326172,0.26130813360214233
51,2703,0.20338593423366547,,,,,,
52,2749,,0.2054174244403839,,,,,
52,2755,,,0.4193655252456665,6338188.5,0.748759388923645,0.12738418579101562,0.26041659712791443
52,2755,0.1999702751636505,,,,,,
