epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.6269614100456238,,,,,
0,60,,,0.8592473268508911,28357294.0,1.6176209449768066,0.1504293829202652,0.5539305806159973
0,60,0.8624818325042725,,,,,,
1,99,,0.5819084644317627,,,,,
1,121,,,0.7795698046684265,26265018.0,1.4786579608917236,0.1432194858789444,0.479303777217865
1,121,0.5036625862121582,,,,,,
2,149,,0.37607091665267944,,,,,
2,182,,,0.7435867786407471,21839486.0,1.3146356344223022,0.14444531500339508,0.4225802421569824
2,182,0.41607794165611267,,,,,,
3,199,,0.39455166459083557,,,,,
3,243,,,0.6629088521003723,17653848.0,1.1475995779037476,0.14030812680721283,0.3788122236728668
3,243,0.3488673269748688,,,,,,
4,249,,0.2386135458946228,,,,,
4,299,,0.3331112563610077,,,,,
4,304,,,0.6594980359077454,12614076.0,1.084380865097046,0.14650055766105652,0.3910270929336548
4,304,0.3181942105293274,,,,,,
5,349,,0.27212461829185486,,,,,
5,365,,,0.6138989925384521,8180628.5,1.0546444654464722,0.14974194765090942,0.3721045255661011
5,365,0.2964949607849121,,,,,,
6,399,,0.3760126233100891,,,,,
6,426,,,0.5453360080718994,8117976.0,0.9764903783798218,0.13878190517425537,0.341024786233902
6,426,0.28144749999046326,,,,,,
7,449,,0.32450002431869507,,,,,
7,487,,,0.5386612415313721,8431723.0,0.9554526209831238,0.1366138756275177,0.33768609166145325
7,487,0.2740558981895447,,,,,,
8,499,,0.2010013908147812,,,,,
8,548,,,0.5353223085403442,8446067.0,0.9588379859924316,0.1366012543439865,0.33720389008522034
8,548,0.2680252492427826,,,,,,
9,549,,0.24988161027431488,,,,,
9,599,,0.21933108568191528,,,,,
9,609,,,0.526519775390625,8481459.0,0.946440577507019,0.13571284711360931,0.3303520679473877
9,609,0.25962263345718384,,,,,,
10,649,,0.2351776659488678,,,,,
10,670,,,0.5284863114356995,8549546.0,0.9464168548583984,0.13554134964942932,0.3365737199783325
10,670,0.2534349262714386,,,,,,
11,699,,0.3113950788974762,,,,,
11,731,,,0.5168120265007019,8495200.0,0.9367711544036865,0.134738028049469,0.32905906438827515
11,731,0.24808275699615479,,,,,,
12,749,,0.21842244267463684,,,,,
12,792,,,0.5278792381286621,8060614.0,0.9493711590766907,0.13679401576519012,0.3314133286476135
12,792,0.24713842570781708,,,,,,
13,799,,0.19383199512958527,,,,,
13,849,,0.25071051716804504,,,,,
13,853,,,0.5289488434791565,7983978.0,0.9395623803138733,0.13703610002994537,0.33553826808929443
13,853,0.24160818755626678,,,,,,
14,899,,0.257671058177948,,,,,
14,914,,,0.5377246141433716,7984893.5,0.9714913368225098,0.13866524398326874,0.33736807107925415
14,914,0.23932363092899323,,,,,,
15,949,,0.2003927230834961,,,,,
15,975,,,0.5160178542137146,8087143.0,0.9264417290687561,0.13481630384922028,0.32597616314888
15,975,0.23730985820293427,,,,,,
16,999,,0.26726430654525757,,,,,
16,1036,,,0.5323153138160706,8575645.0,0.9370453357696533,0.13488750159740448,0.3338335454463959
16,1036,0.23464831709861755,,,,,,
17,1049,,0.25598201155662537,,,,,
17,1097,,,0.5442832708358765,8021472.0,0.9777882099151611,0.139953151345253,0.34806346893310547
17,1097,0.23265907168388367,,,,,,
18,1099,,0.19879522919654846,,,,,
18,1149,,0.22303104400634766,,,,,
18,1158,,,0.5430538058280945,8244368.0,0.9623714685440063,0.1382545530796051,0.3409673571586609
18,1158,0.2316455990076065,,,,,,
19,1199,,0.19425161182880402,,,,,
19,1219,,,0.5302811861038208,8209527.5,0.9269670248031616,0.1350233405828476,0.3309764266014099
19,1219,0.2265312820672989,,,,,,
20,1249,,0.1988605111837387,,,,,
20,1280,,,0.4943908751010895,8308193.5,0.8982152938842773,0.1316148340702057,0.31063276529312134
20,1280,0.21922293305397034,,,,,,
21,1299,,0.17297863960266113,,,,,
21,1341,,,0.48796623945236206,8121276.5,0.8930233716964722,0.13022078573703766,0.3131362497806549
21,1341,0.2184557467699051,,,,,,
22,1349,,0.19029086828231812,,,,,
22,1399,,0.1999567300081253,,,,,
22,1402,,,0.5535888075828552,7962816.5,0.9933465123176575,0.140539288520813,0.3499022424221039
22,1402,0.21772252023220062,,,,,,
23,1449,,0.19814594089984894,,,,,
23,1463,,,0.4906582534313202,8075764.0,0.9040338397026062,0.13120807707309723,0.31651216745376587
23,1463,0.21442866325378418,,,,,,
24,1499,,0.19351819157600403,,,,,
24,1524,,,0.5072663426399231,7916960.5,0.9072141647338867,0.13418927788734436,0.31659361720085144
24,1524,0.21499322354793549,,,,,,
25,1549,,0.25390002131462097,,,,,
25,1585,,,0.5129350423812866,7951362.5,0.9240038990974426,0.13413450121879578,0.32671603560447693
25,1585,0.21432870626449585,,,,,,
