amihud val_MAE,amihud val_MAPE,amihud val_RMSE,amihud val_SMAPE,epoch,log_volume val_MAE,log_volume val_MAPE,log_volume val_RMSE,log_volume val_SMAPE,price_range val_MAE,price_range val_MAPE,price_range val_RMSE,price_range val_SMAPE,step,train_loss_epoch,train_loss_step,val_loss
,,,,0,,,,,,,,,49,,0.7177795171737671,
0.00017874437617138028,836.9613037109375,0.0005608588689938188,1.9611188173294067,0,0.8774176239967346,27450258.0,1.6024647951126099,0.1526906043291092,0.13344494998455048,19327.58203125,0.18402916193008423,0.44472822546958923,59,,,0.6268575191497803
,,,,0,,,,,,,,,59,0.8877192139625549,,
,,,,1,,,,,,,,,99,,0.6452876925468445,
0.00017217171262018383,674.874755859375,0.0005838547949679196,1.9585614204406738,1,0.8333554267883301,22266428.0,1.3993579149246216,0.15369459986686707,0.12600500881671906,17423.51171875,0.17727890610694885,0.41089507937431335,119,,,0.550143301486969
,,,,1,,,,,,,,,119,0.6317189335823059,,
,,,,2,,,,,,,,,149,,0.48532381653785706,
0.0001511023292550817,474.1663513183594,0.0005796787445433438,1.9552874565124512,2,0.6698026061058044,10042892.0,1.0615569353103638,0.14992214739322662,0.12041988223791122,16210.7275390625,0.17432072758674622,0.3902633488178253,179,,,0.4795015752315521
,,,,2,,,,,,,,,179,0.5029746294021606,,
,,,,3,,,,,,,,,199,,0.4446609914302826,
0.000143599376315251,428.5456848144531,0.0005493034841492772,1.9553414583206177,3,0.6211302280426025,7362963.5,1.0342791080474854,0.14768992364406586,0.12056507170200348,17573.62890625,0.17490196228027344,0.3883817195892334,239,,,0.4651426672935486
,,,,3,,,,,,,,,239,0.43825483322143555,,
,,,,4,,,,,,,,,249,,0.4372406601905823,
,,,,4,,,,,,,,,299,,0.3947015702724457,
0.00013953268353361636,517.2623901367188,0.0005260356701910496,1.9237957000732422,4,0.60242760181427,7370308.0,1.0266306400299072,0.1457442045211792,0.11751171201467514,17197.306640625,0.17206406593322754,0.37928980588912964,299,,,0.45136553049087524
,,,,4,,,,,,,,,299,0.4045604169368744,,
,,,,5,,,,,,,,,349,,0.36148613691329956,
0.0001195227014250122,409.51702880859375,0.0005007318686693907,1.8844765424728394,5,0.5940353870391846,7440292.0,1.0412840843200684,0.14567270874977112,0.1151479184627533,15316.740234375,0.17214234173297882,0.3687499463558197,359,,,0.44497567415237427
,,,,5,,,,,,,,,359,0.381623238325119,,
,,,,6,,,,,,,,,399,,0.3449963629245758,
0.00011063789861509576,354.6003723144531,0.00048692995915189385,1.872839331626892,6,0.5866048336029053,7223559.5,1.0412003993988037,0.1461353898048401,0.11129503697156906,15455.1923828125,0.17005909979343414,0.35848402976989746,419,,,0.441699743270874
,,,,6,,,,,,,,,419,0.36275389790534973,,
,,,,7,,,,,,,,,449,,0.36753588914871216,
0.00010089162242366001,291.1650695800781,0.00048206798965111375,1.8498128652572632,7,0.5839935541152954,7265814.0,1.037231683731079,0.1455894559621811,0.10944419354200363,15023.052734375,0.16964581608772278,0.35428398847579956,479,,,0.4429756999015808
,,,,7,,,,,,,,,479,0.35194137692451477,,
,,,,8,,,,,,,,,499,,0.353556752204895,
8.949416223913431e-05,217.5597686767578,0.00047709300997667015,1.8120203018188477,8,0.5773847699165344,7285826.5,1.0288869142532349,0.14481103420257568,0.11007487773895264,15864.0322265625,0.168402761220932,0.3522171676158905,539,,,0.4406871199607849
,,,,8,,,,,,,,,539,0.3428306579589844,,
,,,,9,,,,,,,,,549,,0.3089892864227295,
,,,,9,,,,,,,,,599,,0.31796395778656006,
8.811784937279299e-05,201.85549926757812,0.0004785084747709334,1.7986719608306885,9,0.567960262298584,7229261.0,1.0163533687591553,0.14315292239189148,0.11086010187864304,16926.71484375,0.16817745566368103,0.3530636429786682,599,,,0.43328362703323364
,,,,9,,,,,,,,,599,0.33269667625427246,,
,,,,10,,,,,,,,,649,,0.30590349435806274,
8.80117659107782e-05,197.6102294921875,0.00048096998943947256,1.8187116384506226,10,0.5627954602241516,7180956.5,1.0037903785705566,0.14262515306472778,0.10685484111309052,15866.779296875,0.16696511209011078,0.3457850515842438,659,,,0.429659903049469
,,,,10,,,,,,,,,659,0.32565420866012573,,
,,,,11,,,,,,,,,699,,0.3123833239078522,
8.674905257066712e-05,172.20790100097656,0.00048461227561347187,1.8009172677993774,11,0.560024619102478,7272188.0,0.9963671565055847,0.14185431599617004,0.10611286014318466,16406.44140625,0.1662757694721222,0.34294983744621277,719,,,0.42946359515190125
,,,,11,,,,,,,,,719,0.31963425874710083,,
,,,,12,,,,,,,,,749,,0.3017633557319641,
8.536074892617762e-05,139.5927276611328,0.00048809111467562616,1.8285470008850098,12,0.5569138526916504,7074472.0,0.9989475607872009,0.14214004576206207,0.1059812679886818,16490.173828125,0.16680441796779633,0.34625443816185,779,,,0.4282066226005554
,,,,12,,,,,,,,,779,0.31336867809295654,,
,,,,13,,,,,,,,,799,,0.30349698662757874,
8.429511944996193e-05,123.177734375,0.0004908760893158615,1.8105868101119995,13,0.5429331064224243,7214942.5,0.9783620834350586,0.13957791030406952,0.10587598383426666,17763.5078125,0.16460831463336945,0.34194624423980713,839,,,0.4218173027038574
,,,,13,,,,,,,,,839,0.3102045953273773,,
,,,,14,,,,,,,,,849,,0.30983659625053406,
,,,,14,,,,,,,,,899,,0.2876988351345062,
8.305712981382385e-05,101.60609436035156,0.0004936004406772554,1.7617452144622803,14,0.5413699150085449,7251996.0,0.9686928987503052,0.13909846544265747,0.10559385269880295,18334.1484375,0.16480158269405365,0.3425268232822418,899,,,0.4207202196121216
,,,,14,,,,,,,,,899,0.30573251843452454,,
,,,,15,,,,,,,,,949,,0.29644450545310974,
8.239168528234586e-05,97.18269348144531,0.000492868828587234,1.7257568836212158,15,0.5367250442504883,7195192.5,0.9668803215026855,0.13861683011054993,0.10440655052661896,18468.810546875,0.16335725784301758,0.3387618660926819,959,,,0.4179460108280182
,,,,15,,,,,,,,,959,0.30195480585098267,,
,,,,16,,,,,,,,,999,,0.29009807109832764,
8.59822757774964e-05,127.85877227783203,0.0004914197488687932,1.882543683052063,16,0.5415710806846619,7164687.0,0.9844545125961304,0.13987934589385986,0.10529594868421555,19059.326171875,0.16333945095539093,0.3399239182472229,1019,,,0.41857248544692993
,,,,16,,,,,,,,,1019,0.2993432879447937,,
,,,,17,,,,,,,,,1049,,0.29003453254699707,
8.63363457028754e-05,132.36619567871094,0.000491117883939296,1.9207733869552612,17,0.5344136357307434,7273834.0,0.9661970138549805,0.13833241164684296,0.1048726886510849,18566.470703125,0.16392165422439575,0.3385397493839264,1079,,,0.41511857509613037
,,,,17,,,,,,,,,1079,0.2971561849117279,,
,,,,18,,,,,,,,,1099,,0.28816017508506775,
8.149138739099726e-05,90.93292999267578,0.0004917760379612446,1.742972493171692,18,0.5326836705207825,7198936.5,0.9688599705696106,0.13825184106826782,0.10541192442178726,19475.61328125,0.1634047031402588,0.3404700756072998,1139,,,0.41746819019317627
,,,,18,,,,,,,,,1139,0.29325324296951294,,
,,,,19,,,,,,,,,1149,,0.29432544112205505,
,,,,19,,,,,,,,,1199,,0.2646876871585846,
8.196104317903519e-05,90.81455993652344,0.0004941804800182581,1.7153171300888062,19,0.5378536581993103,7832209.0,0.977702796459198,0.1379694789648056,0.10480152070522308,19316.884765625,0.1636093109846115,0.341360867023468,1199,,,0.4194241166114807
,,,,19,,,,,,,,,1199,0.29106834530830383,,
,,,,20,,,,,,,,,1249,,0.296585351228714,
8.283102215500548e-05,99.57674407958984,0.0004945391556248069,1.7752106189727783,20,0.5326056480407715,8129026.5,0.9768773317337036,0.13698066771030426,0.1037110909819603,19425.337890625,0.16238738596439362,0.3383300006389618,1259,,,0.4154703617095947
,,,,20,,,,,,,,,1259,0.2884025275707245,,
,,,,21,,,,,,,,,1299,,0.301806777715683,
8.204361074604094e-05,97.91114807128906,0.0004915532190352678,1.6912951469421387,21,0.5314494371414185,7626852.0,0.9629383683204651,0.13766835629940033,0.10387599468231201,18148.19921875,0.16316363215446472,0.33820009231567383,1319,,,0.4090065062046051
,,,,21,,,,,,,,,1319,0.28628140687942505,,
,,,,22,,,,,,,,,1349,,0.2907450497150421,
8.885996794560924e-05,182.4848175048828,0.00048508361214771867,1.8176310062408447,22,0.5293018221855164,7752958.5,0.9654300212860107,0.13713707029819489,0.10434356331825256,17980.083984375,0.16293081641197205,0.3396822214126587,1379,,,0.4115842282772064
,,,,22,,,,,,,,,1379,0.2843756675720215,,
,,,,23,,,,,,,,,1399,,0.2928009331226349,
8.28750926302746e-05,117.46788787841797,0.0004889409756287932,1.8052377700805664,23,0.5386187434196472,7782875.0,0.9818609952926636,0.13875098526477814,0.10545932501554489,16819.849609375,0.16463807225227356,0.3445437252521515,1439,,,0.4166400134563446
,,,,23,,,,,,,,,1439,0.281501442193985,,
,,,,24,,,,,,,,,1449,,0.2803305387496948,
,,,,24,,,,,,,,,1499,,0.29830703139305115,
8.158931450452656e-05,100.35374450683594,0.0004893054137937725,1.701395034790039,24,0.5448891520500183,7704303.5,0.9805418252944946,0.13934919238090515,0.10513361543416977,16952.775390625,0.16463133692741394,0.34480515122413635,1499,,,0.41667768359184265
,,,,24,,,,,,,,,1499,0.27953362464904785,,
,,,,25,,,,,,,,,1549,,0.2788621783256531,
8.231715764850378e-05,105.4024429321289,0.0004899251507595181,1.6961743831634521,25,0.5469601154327393,7865650.0,0.9846851825714111,0.13936810195446014,0.1053849458694458,15838.4853515625,0.16585132479667664,0.34844598174095154,1559,,,0.42068397998809814
,,,,25,,,,,,,,,1559,0.27751168608665466,,
,,,,26,,,,,,,,,1599,,0.25890588760375977,
