epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.5191808938980103,,,,,
0,60,,,0.9013885259628296,27696576.0,1.616453766822815,0.1565612107515335,0.5622031092643738
0,60,0.8092798590660095,,,,,,
1,99,,0.4570327401161194,,,,,
1,121,,,0.8028163313865662,25845692.0,1.4755322933197021,0.14692780375480652,0.44955551624298096
1,121,0.5176669955253601,,,,,,
2,149,,0.38160061836242676,,,,,
2,182,,,0.7172548770904541,23688968.0,1.3508331775665283,0.13934853672981262,0.3861476182937622
2,182,0.39263126254081726,,,,,,
3,199,,0.42081665992736816,,,,,
3,243,,,0.6947653889656067,21395712.0,1.265473484992981,0.13974693417549133,0.3719070851802826
3,243,0.3543255627155304,,,,,,
4,249,,0.2928813695907593,,,,,
4,299,,0.30089271068573,,,,,
4,304,,,0.6448060870170593,20307970.0,1.1979217529296875,0.13512557744979858,0.3555320203304291
4,304,0.338216096162796,,,,,,
5,349,,0.32588446140289307,,,,,
5,365,,,0.6324291229248047,18779362.0,1.1504241228103638,0.13604333996772766,0.35337740182876587
5,365,0.3272477686405182,,,,,,
6,399,,0.28616446256637573,,,,,
6,426,,,0.6195724010467529,18182656.0,1.1199860572814941,0.13463953137397766,0.3481147289276123
6,426,0.31904056668281555,,,,,,
7,449,,0.3528241813182831,,,,,
7,487,,,0.572141706943512,14417576.0,0.9769605398178101,0.1320773810148239,0.34097832441329956
7,487,0.3029959201812744,,,,,,
8,499,,0.33024513721466064,,,,,
8,548,,,0.5160067677497864,8250645.5,0.8870387077331543,0.13222374022006989,0.32841187715530396
8,548,0.2752991020679474,,,,,,
9,549,,0.23226650059223175,,,,,
9,599,,0.21628543734550476,,,,,
9,609,,,0.5088688731193542,8015077.5,0.8827757239341736,0.132008895277977,0.32114526629447937
9,609,0.2615586221218109,,,,,,
10,649,,0.22500935196876526,,,,,
10,670,,,0.5075159668922424,8030168.5,0.8793025016784668,0.13161011040210724,0.3178250193595886
10,670,0.25426506996154785,,,,,,
11,699,,0.2334343045949936,,,,,
11,731,,,0.5274070501327515,7897847.5,0.8951848745346069,0.13398726284503937,0.31759709119796753
11,731,0.2483528107404709,,,,,,
12,749,,0.21695511043071747,,,,,
12,792,,,0.5121109485626221,8294077.0,0.8871784210205078,0.1320214569568634,0.3125114142894745
12,792,0.2501426637172699,,,,,,
13,799,,0.3192119598388672,,,,,
13,849,,0.31053489446640015,,,,,
13,853,,,0.5008396506309509,8065937.5,0.8728974461555481,0.13085463643074036,0.30971813201904297
13,853,0.24271260201931,,,,,,
14,899,,0.2659744322299957,,,,,
14,914,,,0.5083162188529968,8140516.0,0.8791570067405701,0.1315516233444214,0.31756043434143066
14,914,0.24069711565971375,,,,,,
15,949,,0.2093120813369751,,,,,
15,975,,,0.4971650540828705,8188851.5,0.8660852909088135,0.1300571709871292,0.305675208568573
15,975,0.2373659461736679,,,,,,
16,999,,0.2560391128063202,,,,,
16,1036,,,0.48540276288986206,7927785.0,0.8588224649429321,0.1291937381029129,0.3009408712387085
16,1036,0.23598860204219818,,,,,,
17,1049,,0.25345736742019653,,,,,
17,1097,,,0.4847005307674408,8309767.5,0.8556855320930481,0.1284281611442566,0.3025161921977997
17,1097,0.23579911887645721,,,,,,
18,1099,,0.25258761644363403,,,,,
18,1149,,0.25914227962493896,,,,,
18,1158,,,0.4748375713825226,8030911.5,0.8523073792457581,0.1280314028263092,0.29864802956581116
18,1158,0.2314516305923462,,,,,,
19,1199,,0.2585132122039795,,,,,
19,1219,,,0.4970007538795471,7772693.5,0.8754039406776428,0.13105420768260956,0.30999886989593506
19,1219,0.22681736946105957,,,,,,
20,1249,,0.20655983686447144,,,,,
20,1280,,,0.45537635684013367,8330518.5,0.8296862840652466,0.12498107552528381,0.28861361742019653
20,1280,0.22313493490219116,,,,,,
21,1299,,0.20631752908229828,,,,,
21,1341,,,0.4619702398777008,8220263.0,0.8356698751449585,0.12624560296535492,0.29401761293411255
21,1341,0.22030691802501678,,,,,,
22,1349,,0.2094022035598755,,,,,
22,1399,,0.21815279126167297,,,,,
22,1402,,,0.4632263779640198,8129205.5,0.841870903968811,0.12634925544261932,0.29680222272872925
22,1402,0.21658121049404144,,,,,,
23,1449,,0.21123374998569489,,,,,
