lag,bear_disc_coef,bear_disc_pval,bull_disc_coef,bull_disc_pval,r2_disc,bear_cont_coef,bear_cont_pval,bull_cont_coef,bull_cont_pval,r2_cont,n
1,0.1779641187468512,1.4084433595995968e-06,0.1313886914711795,0.0009707716425851564,0.0020262609305580215,0.26235709635197674,1.2023022511026146e-08,0.20040162431783964,0.00014850637104724216,0.002801519383557771,11598
2,0.06281099769843587,0.1731716095283962,0.06337349173602068,0.20311044608401468,0.00018911262707776988,0.10502326618450433,0.06782328366097323,0.1141591519446923,0.08400569902704436,0.00033630382937033243,11512
3,0.0794412464551279,0.0937342661634495,0.11170421151156505,0.029239291826552053,0.000436622677708165,0.11737350552198426,0.04715216490929089,0.1694577762801568,0.012793915609927804,0.0005689086200761917,11360
4,0.17456934526133386,0.0005254840451626277,0.16631589364199875,0.0022124422444746946,0.0012196773873989208,0.2669240284283003,2.1099605438537543e-05,0.2371855097491871,0.0010120492980568313,0.001683728193770495,11065
6,0.2193860556711138,1.7664458908736772e-05,0.1973695930858844,0.00035094697405558487,0.0018658392956593106,0.34212985235268567,8.186386381267013e-08,0.2905487047714375,7.416377092424282e-05,0.0027341985850516393,10679
8,0.016565588191653463,0.7596881620760623,0.039138674013458226,0.5039294862208855,4.415809082514155e-05,0.05579098272690053,0.40865190025337456,0.10136368915209856,0.1923419291985242,0.00016284041544489813,10440
12,0.012247691617961657,0.8222576180013693,-0.10633649183982649,0.07228511351294055,0.0005886285544465242,0.0013401787409348595,0.9842999119992135,-0.17141423196208821,0.02940275985482454,0.0008109766191966017,9917
